nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
ESP,FW,19,2004,21.3,8,64,24,37.5,3.0,1.13,0.13,0.33,13.5,0,0,0,10.8,10.8,0.17,-2.8,-2.8,ESP-La Liga,2023,shooting
ESP,MF,18,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
ESP,MF,21,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
ESP,"FW,MF",21,2002,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
ESP,"FW,MF",26,1997,3.4,0,5,0,0.0,1.49,0.0,0.0,,16.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4,ESP-La Liga,2023,shooting
ESP,"FW,MF",31,1992,27.5,3,63,24,38.1,2.29,0.87,0.03,0.08,24.1,12,1,1,4.3,3.5,0.06,-1.3,-1.5,ESP-La Liga,2023,shooting
ESP,"DF,MF",24,1999,10.8,0,4,3,75.0,0.37,0.28,0.0,0.0,23.3,0,0,0,0.4,0.4,0.1,-0.4,-0.4,ESP-La Liga,2023,shooting
SRB,DF,29,1993,6.3,0,1,0,0.0,0.16,0.0,0.0,,10.5,0,0,0,0.0,0.0,0.04,0.0,0.0,ESP-La Liga,2023,shooting
HON,FW,30,1993,8.6,3,23,9,39.1,2.68,1.05,0.13,0.33,13.3,0,0,0,3.3,3.3,0.14,-0.3,-0.3,ESP-La Liga,2023,shooting
ESP,"FW,DF",22,2001,2.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
MOZ,DF,25,1997,9.1,1,8,2,25.0,0.88,0.22,0.13,0.5,24.6,0,0,0,0.2,0.2,0.02,0.8,0.8,ESP-La Liga,2023,shooting
ESP,DF,24,1999,27.0,0,5,0,0.0,0.18,0.0,0.0,,13.8,0,0,0,1.0,1.0,0.19,-1.0,-1.0,ESP-La Liga,2023,shooting
MEX,DF,26,1997,19.9,0,13,2,15.4,0.65,0.1,0.0,0.0,11.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7,ESP-La Liga,2023,shooting
ESP,GK,33,1990,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
SEN,MF,21,2002,21.3,0,23,8,34.8,1.08,0.38,0.0,0.0,26.2,0,0,0,1.3,1.3,0.06,-1.3,-1.3,ESP-La Liga,2023,shooting
ESP,GK,33,1990,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
ESP,"MF,FW",29,1994,12.3,1,14,4,28.6,1.14,0.33,0.07,0.25,11.7,0,0,0,2.0,2.0,0.14,-1.0,-1.0,ESP-La Liga,2023,shooting
GNB,DF,25,1998,4.4,0,1,0,0.0,0.23,0.0,0.0,,23.2,0,0,0,0.0,0.0,0.01,0.0,0.0,ESP-La Liga,2023,shooting
MLI,FW,24,1999,3.1,0,4,2,50.0,1.3,0.65,0.0,0.0,12.9,0,0,0,0.4,0.4,0.11,-0.4,-0.4,ESP-La Liga,2023,shooting
GHA,MF,27,1996,15.9,0,8,2,25.0,0.5,0.13,0.0,0.0,25.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7,ESP-La Liga,2023,shooting
ESP,MF,33,1989,10.1,0,12,5,41.7,1.18,0.49,0.0,0.0,18.7,1,0,0,1.3,1.3,0.11,-1.3,-1.3,ESP-La Liga,2023,shooting
BRA,DF,19,2004,5.8,1,3,1,33.3,0.52,0.17,0.33,1.0,11.4,0,0,0,0.2,0.2,0.08,0.8,0.8,ESP-La Liga,2023,shooting
BEL,"FW,MF",22,2001,17.3,3,40,12,30.0,2.32,0.69,0.08,0.25,17.5,1,0,0,4.7,4.7,0.12,-1.7,-1.7,ESP-La Liga,2023,shooting
ARG,MF,26,1997,26.5,0,37,13,35.1,1.4,0.49,0.0,0.0,28.1,3,0,0,1.0,1.0,0.03,-1.0,-1.0,ESP-La Liga,2023,shooting
COL,FW,25,1997,10.2,6,39,13,33.3,3.83,1.28,0.13,0.38,14.2,0,1,1,6.5,5.7,0.15,-0.5,-0.7,ESP-La Liga,2023,shooting
ARG,FW,18,2004,4.9,3,8,3,37.5,1.64,0.62,0.38,1.0,15.9,0,0,0,1.3,1.3,0.18,1.7,1.7,ESP-La Liga,2023,shooting
POR,GK,24,1999,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
BRA,"FW,MF",21,2002,3.2,0,8,4,50.0,2.53,1.26,0.0,0.0,18.3,0,0,0,0.9,0.9,0.11,-0.9,-0.9,ESP-La Liga,2023,shooting
BRA,FW,30,1992,20.4,6,48,18,37.5,2.35,0.88,0.13,0.33,16.7,0,0,0,5.3,5.3,0.11,0.7,0.7,ESP-La Liga,2023,shooting
ESP,DF,20,2003,20.9,1,20,5,25.0,0.96,0.24,0.05,0.2,20.8,0,0,0,0.7,0.7,0.04,0.3,0.3,ESP-La Liga,2023,shooting
GNB,"FW,MF",19,2004,0.5,0,1,0,0.0,2.09,0.0,0.0,,22.7,0,0,0,0.0,0.0,0.03,0.0,0.0,ESP-La Liga,2023,shooting
ESP,MF,18,2005,4.9,0,4,1,25.0,0.82,0.2,0.0,0.0,28.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,ESP-La Liga,2023,shooting
SRB,"FW,MF",19,2003,3.4,1,5,1,20.0,1.46,0.29,0.2,1.0,16.2,0,0,0,1.5,1.5,0.31,-0.5,-0.5,ESP-La Liga,2023,shooting
ESP,DF,18,2004,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
MAR,FW,18,2005,0.2,0,1,0,0.0,5.29,0.0,0.0,,8.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,ESP-La Liga,2023,shooting
ESP,DF,25,1997,18.6,2,9,5,55.6,0.48,0.27,0.22,0.4,17.4,0,0,0,1.2,1.2,0.13,0.8,0.8,ESP-La Liga,2023,shooting
ESP,"MF,FW",21,2001,22.7,9,60,22,36.7,2.64,0.97,0.15,0.41,16.8,1,0,0,8.6,8.6,0.15,0.4,0.4,ESP-La Liga,2023,shooting
SRB,DF,27,1996,1.0,0,1,0,0.0,1.0,0.0,0.0,,11.6,0,0,0,0.0,0.0,0.04,0.0,0.0,ESP-La Liga,2023,shooting
ESP,DF,25,1997,10.9,0,2,1,50.0,0.18,0.09,0.0,0.0,21.2,0,0,0,0.0,0.0,0.02,0.0,0.0,ESP-La Liga,2023,shooting
ESP,"DF,MF",26,1997,28.0,2,13,3,23.1,0.46,0.11,0.15,0.67,10.3,0,0,0,2.3,2.3,0.18,-0.3,-0.3,ESP-La Liga,2023,shooting
ESP,FW,21,2001,2.9,0,4,0,0.0,1.36,0.0,0.0,,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ESP-La Liga,2023,shooting
ESP,FW,17,2005,0.1,0,1,0,0.0,10.0,0.0,0.0,,25.4,0,0,0,0.0,0.0,0.01,0.0,0.0,ESP-La Liga,2023,shooting
ESP,DF,23,2000,30.0,1,14,3,21.4,0.47,0.1,0.07,0.33,9.7,0,0,0,1.2,1.2,0.08,-0.2,-0.2,ESP-La Liga,2023,shooting
ESP,MF,33,1989,11.4,0,14,2,14.3,1.22,0.17,0.0,0.0,21.2,0,0,0,0.7,0.7,0.05,-0.7,-0.7,ESP-La Liga,2023,shooting
ESP,FW,25,1997,5.7,2,12,6,50.0,2.11,1.05,0.17,0.33,11.5,0,0,0,1.7,1.7,0.14,0.3,0.3,ESP-La Liga,2023,shooting
ESP,"MF,DF",22,2001,16.1,0,7,4,57.1,0.43,0.25,0.0,0.0,18.5,0,0,0,0.5,0.5,0.07,-0.5,-0.5,ESP-La Liga,2023,shooting
ESP,MF,33,1990,8.3,1,6,3,50.0,0.72,0.36,0.17,0.33,13.6,0,0,0,0.8,0.8,0.13,0.2,0.2,ESP-La Liga,2023,shooting
ESP,DF,24,1999,32.0,0,11,1,9.1,0.34,0.03,0.0,0.0,13.5,0,0,0,0.6,0.6,0.05,-0.6,-0.6,ESP-La Liga,2023,shooting
ESP,FW,26,1996,24.6,14,63,28,44.4,2.56,1.14,0.22,0.5,13.5,3,0,1,11.6,10.8,0.17,2.4,3.2,ESP-La Liga,2023,shooting
ESP,"MF,FW",30,1992,6.6,2,13,7,53.8,1.97,1.06,0.15,0.29,14.3,0,0,0,1.7,1.7,0.13,0.3,0.3,ESP-La Liga,2023,shooting
ESP,DF,23,2000,5.8,0,1,0,0.0,0.17,0.0,0.0,,23.7,0,0,0,0.0,0.0,0.01,0.0,0.0,ESP-La Liga,2023,shooting
GHA,FW,29,1994,31.6,12,93,43,46.2,2.94,1.36,0.13,0.28,15.4,0,0,0,9.4,9.4,0.1,2.6,2.6,ESP-La Liga,2023,shooting
ESP,DF,30,1993,22.2,0,5,0,0.0,0.22,0.0,0.0,,22.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,ESP-La Liga,2023,shooting
ESP,MF,29,1993,23.2,1,11,2,18.2,0.47,0.09,0.09,0.5,25.4,0,0,0,0.3,0.3,0.03,0.7,0.7,ESP-La Liga,2023,shooting
ESP,GK,22,2000,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
ESP,MF,19,2003,1.7,0,2,0,0.0,1.19,0.0,0.0,,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0,ESP-La Liga,2023,shooting
ESP,MF,30,1993,17.0,3,17,5,29.4,1.0,0.29,0.06,0.2,20.7,0,2,2,2.7,1.1,0.07,0.3,-0.1,ESP-La Liga,2023,shooting
ESP,FW,21,2002,25.1,5,56,19,33.9,2.23,0.76,0.09,0.26,15.7,1,0,0,6.0,6.0,0.11,-1.0,-1.0,ESP-La Liga,2023,shooting
ESP,MF,23,2000,21.9,4,41,11,26.8,1.87,0.5,0.1,0.36,15.6,0,0,1,6.3,5.5,0.13,-2.3,-1.5,ESP-La Liga,2023,shooting
ESP,"DF,MF",24,1998,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
ESP,"FW,MF",37,1986,4.7,1,10,1,10.0,2.14,0.21,0.1,1.0,14.3,0,0,0,0.9,0.9,0.09,0.1,0.1,ESP-La Liga,2023,shooting
ESP,MF,20,2003,9.7,2,16,7,43.8,1.65,0.72,0.13,0.29,17.0,0,0,0,1.5,1.5,0.09,0.5,0.5,ESP-La Liga,2023,shooting
ESP,GK,26,1997,35.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
ESP,DF,28,1995,12.8,0,7,2,28.6,0.55,0.16,0.0,0.0,14.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,ESP-La Liga,2023,shooting
ESP,DF,33,1990,21.4,3,18,6,33.3,0.84,0.28,0.17,0.5,19.1,0,0,0,0.9,0.7,0.04,2.1,2.3,ESP-La Liga,2023,shooting
ESP,FW,28,1995,17.7,7,31,11,35.5,1.75,0.62,0.19,0.55,16.4,3,1,1,5.2,4.4,0.14,1.8,1.6,ESP-La Liga,2023,shooting
ESP,DF,34,1989,25.1,1,5,2,40.0,0.2,0.08,0.2,0.5,15.7,0,0,0,0.6,0.6,0.13,0.4,0.4,ESP-La Liga,2023,shooting
MAR,FW,19,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
FRA,"FW,MF",32,1991,29.4,16,75,29,38.7,2.55,0.99,0.16,0.41,17.3,3,4,4,12.3,9.3,0.12,3.7,2.7,ESP-La Liga,2023,shooting
BEL,MF,18,2005,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
BEL,DF,34,1989,30.9,2,7,3,42.9,0.23,0.1,0.29,0.67,8.0,0,0,0,1.0,1.0,0.14,1.0,1.0,ESP-La Liga,2023,shooting
ESP,DF,33,1989,15.8,0,2,2,100.0,0.13,0.13,0.0,0.0,20.3,0,0,0,0.6,0.6,0.32,-0.6,-0.6,ESP-La Liga,2023,shooting
BRA,DF,32,1990,4.5,0,1,1,100.0,0.22,0.22,0.0,0.0,4.7,0,0,0,0.2,0.2,0.19,-0.2,-0.2,ESP-La Liga,2023,shooting
SVN,GK,30,1993,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
ESP,DF,28,1994,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
URU,DF,28,1995,14.7,0,7,1,14.3,0.48,0.07,0.0,0.0,12.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,ESP-La Liga,2023,shooting
ESP,MF,31,1992,27.7,0,10,2,20.0,0.36,0.07,0.0,0.0,21.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,ESP-La Liga,2023,shooting
ESP,"MF,DF",28,1995,28.5,6,30,19,63.3,1.05,0.67,0.2,0.32,15.4,0,0,0,4.1,4.1,0.14,1.9,1.9,ESP-La Liga,2023,shooting
ESP,DF,28,1995,28.4,0,17,4,23.5,0.6,0.14,0.0,0.0,15.0,0,0,0,1.4,1.4,0.08,-1.4,-1.4,ESP-La Liga,2023,shooting
NED,FW,29,1994,9.9,5,38,15,39.5,3.83,1.51,0.13,0.33,17.5,3,0,0,5.8,5.8,0.15,-0.8,-0.8,ESP-La Liga,2023,shooting
ARG,DF,25,1998,20.6,2,12,4,33.3,0.58,0.19,0.17,0.5,17.4,1,0,0,1.3,1.3,0.11,0.7,0.7,ESP-La Liga,2023,shooting
ESP,MF,20,2003,17.3,0,17,7,41.2,0.98,0.41,0.0,0.0,21.8,0,0,0,0.9,0.9,0.05,-0.9,-0.9,ESP-La Liga,2023,shooting
MOZ,DF,29,1994,8.1,2,5,3,60.0,0.62,0.37,0.4,0.67,10.4,0,0,0,0.9,0.9,0.17,1.1,1.1,ESP-La Liga,2023,shooting
ARG,MF,29,1994,23.1,3,30,12,40.0,1.3,0.52,0.1,0.25,19.8,1,0,0,1.8,1.8,0.06,1.2,1.2,ESP-La Liga,2023,shooting
ESP,"DF,MF",23,2000,17.0,3,37,16,43.2,2.18,0.94,0.08,0.19,18.0,0,0,0,2.7,2.7,0.07,0.3,0.3,ESP-La Liga,2023,shooting
MAR,MF,19,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
BRA,"DF,MF",23,1999,23.1,4,54,21,38.9,2.34,0.91,0.07,0.19,16.6,0,0,0,5.6,5.6,0.1,-1.6,-1.6,ESP-La Liga,2023,shooting
ESP,MF,28,1994,15.3,1,16,4,25.0,1.05,0.26,0.06,0.25,14.5,0,0,0,1.5,1.5,0.09,-0.5,-0.5,ESP-La Liga,2023,shooting
MNE,DF,32,1991,18.1,0,5,1,20.0,0.28,0.06,0.0,0.0,11.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,ESP-La Liga,2023,shooting
FRA,MF,27,1995,1.8,0,2,0,0.0,1.1,0.0,0.0,,23.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,ESP-La Liga,2023,shooting
BEL,DF,29,1993,2.5,0,2,1,50.0,0.81,0.41,0.0,0.0,21.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ESP-La Liga,2023,shooting
ESP,FW,30,1992,21.2,15,66,33,50.0,3.12,1.56,0.23,0.45,11.4,0,0,1,13.8,12.9,0.2,1.2,2.1,ESP-La Liga,2023,shooting
ARG,"FW,MF",28,1995,17.0,9,42,19,45.2,2.47,1.12,0.19,0.42,17.0,1,1,1,7.9,7.1,0.17,1.1,0.9,ESP-La Liga,2023,shooting
TUR,DF,27,1996,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
MAR,"FW,MF",21,2001,0.8,0,4,1,25.0,5.29,1.32,0.0,0.0,19.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,ESP-La Liga,2023,shooting
ESP,DF,19,2003,15.3,0,5,1,20.0,0.33,0.07,0.0,0.0,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ESP-La Liga,2023,shooting
DEN,"DF,MF",27,1996,22.0,2,12,4,33.3,0.55,0.18,0.17,0.5,13.0,0,0,0,1.0,1.0,0.09,1.0,1.0,ESP-La Liga,2023,shooting
ESP,"MF,FW",20,2002,0.6,0,7,1,14.3,12.6,1.8,0.0,0.0,18.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7,ESP-La Liga,2023,shooting
ESP,DF,22,2001,0.6,0,1,0,0.0,1.58,0.0,0.0,,11.0,0,0,0,0.0,0.0,0.05,0.0,0.0,ESP-La Liga,2023,shooting
ESP,"MF,FW",20,2003,16.1,8,51,24,47.1,3.17,1.49,0.16,0.33,15.9,0,0,0,7.5,7.5,0.15,0.5,0.5,ESP-La Liga,2023,shooting
ESP,FW,23,2000,13.5,7,38,15,39.5,2.82,1.11,0.18,0.47,16.6,2,0,0,5.5,5.5,0.15,1.5,1.5,ESP-La Liga,2023,shooting
NED,MF,26,1997,18.2,2,7,4,57.1,0.39,0.22,0.29,0.5,20.4,0,0,0,0.7,0.7,0.1,1.3,1.3,ESP-La Liga,2023,shooting
ESP,"MF,FW",18,2004,10.5,1,9,4,44.4,0.86,0.38,0.11,0.25,15.2,0,0,0,0.9,0.9,0.11,0.1,0.1,ESP-La Liga,2023,shooting
ESP,DF,16,2006,3.5,0,1,0,0.0,0.28,0.0,0.0,,27.2,0,0,0,0.0,0.0,0.01,0.0,0.0,ESP-La Liga,2023,shooting
ESP,GK,24,1999,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
ESP,DF,32,1991,14.4,0,8,1,12.5,0.56,0.07,0.0,0.0,11.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,ESP-La Liga,2023,shooting
POR,DF,29,1994,27.8,2,32,9,28.1,1.15,0.32,0.06,0.22,21.3,0,0,0,1.6,1.6,0.05,0.4,0.4,ESP-La Liga,2023,shooting
POR,FW,23,1999,17.1,7,61,25,41.0,3.56,1.46,0.11,0.28,15.8,1,0,0,8.7,8.7,0.14,-1.7,-1.7,ESP-La Liga,2023,shooting
FRA,DF,24,1998,32.2,1,24,6,25.0,0.75,0.19,0.04,0.17,15.3,0,0,0,2.0,2.0,0.08,-1.0,-1.0,ESP-La Liga,2023,shooting
ESP,FW,16,2007,24.5,5,58,21,36.2,2.37,0.86,0.09,0.24,17.5,0,0,0,5.2,5.2,0.09,-0.2,-0.2,ESP-La Liga,2023,shooting
ESP,MF,19,2003,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
ESP,"FW,MF",17,2006,0.8,1,4,1,25.0,4.86,1.22,0.25,1.0,12.1,0,0,0,0.8,0.8,0.19,0.2,0.2,ESP-La Liga,2023,shooting
GER,GK,31,1992,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
ESP,DF,32,1990,2.8,0,3,2,66.7,1.07,0.71,0.0,0.0,20.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ESP-La Liga,2023,shooting
ESP,MF,31,1991,10.4,0,10,2,20.0,0.96,0.19,0.0,0.0,23.6,0,0,0,0.7,0.7,0.07,-0.7,-0.7,ESP-La Liga,2023,shooting
ESP,DF,16,2007,17.3,0,3,0,0.0,0.17,0.0,0.0,,18.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ESP-La Liga,2023,shooting
ESP,"MF,FW",20,2002,16.4,4,15,7,46.7,0.91,0.43,0.27,0.57,14.5,0,0,0,3.1,3.1,0.21,0.9,0.9,ESP-La Liga,2023,shooting
BRA,"FW,MF",26,1996,15.2,6,58,20,34.5,3.82,1.32,0.09,0.25,19.8,10,1,1,7.4,6.6,0.12,-1.4,-1.6,ESP-La Liga,2023,shooting
POL,FW,34,1988,30.6,19,90,37,41.1,2.95,1.21,0.17,0.41,13.9,3,4,4,18.1,15.0,0.17,0.9,0.0,ESP-La Liga,2023,shooting
URU,DF,24,1999,22.2,1,23,9,39.1,1.04,0.41,0.04,0.11,12.4,0,0,0,2.1,2.1,0.09,-1.1,-1.1,ESP-La Liga,2023,shooting
ESP,"MF,DF",31,1992,9.6,3,10,4,40.0,1.05,0.42,0.3,0.75,12.5,0,0,0,1.7,1.7,0.17,1.3,1.3,ESP-La Liga,2023,shooting
BRA,FW,18,2005,3.6,2,13,6,46.2,3.57,1.65,0.15,0.33,13.7,0,0,0,2.5,2.5,0.2,-0.5,-0.5,ESP-La Liga,2023,shooting
GER,MF,32,1990,33.3,5,41,15,36.6,1.23,0.45,0.1,0.27,17.8,5,1,2,7.3,5.7,0.14,-2.3,-1.7,ESP-La Liga,2023,shooting
MAR,FW,21,2001,9.6,1,33,8,24.2,3.43,0.83,0.03,0.13,17.8,0,0,1,3.0,2.2,0.07,-2.0,-1.2,ESP-La Liga,2023,shooting
BRA,DF,23,2000,15.6,0,4,0,0.0,0.26,0.0,0.0,,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ESP-La Liga,2023,shooting
ESP,"DF,FW",27,1996,11.3,2,13,2,15.4,1.15,0.18,0.15,1.0,22.1,0,0,0,0.8,0.8,0.06,1.2,1.2,ESP-La Liga,2023,shooting
MEX,MF,36,1986,5.0,0,5,0,0.0,1.01,0.0,0.0,,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ESP-La Liga,2023,shooting
SEN,FW,17,2005,11.6,2,21,3,14.3,1.8,0.26,0.1,0.67,13.7,0,0,0,2.5,2.5,0.12,-0.5,-0.5,ESP-La Liga,2023,shooting
ESP,FW,30,1993,25.5,9,68,26,38.2,2.67,1.02,0.13,0.35,13.5,0,0,0,7.4,7.4,0.11,1.6,1.6,ESP-La Liga,2023,shooting
ESP,FW,30,1993,4.5,0,10,0,0.0,2.21,0.0,0.0,,16.3,0,0,0,0.6,0.6,0.06,-0.6,-0.6,ESP-La Liga,2023,shooting
MAR,DF,20,2003,24.0,0,11,5,45.5,0.46,0.21,0.0,0.0,11.1,0,0,0,0.7,0.7,0.07,-0.7,-0.7,ESP-La Liga,2023,shooting
CHI,GK,40,1983,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2023,shooting
